glottocode,corpus,type,access,url,citekey,language,langshort,langfull,level,category,classification,name_gl,Macroarea,lat,lon,ISO639P3code,Countries,Family_ID,Language_ID,family
stan1288,spanish2,phone,yes,https://catalog.ldc.upenn.edu/LDC96S35,canavanalexandraCALLHOMESpanishSpeech1996,spanish,Spanish,Spanish,language,Spoken_L1_Language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/cast1243,Spanish,Eurasia,40.4414,-1.11788,spa,AD;AR;BO;BR;BZ;CL;CO;CR;CU;DO;EC;ES;FR;GI;GT;GY;HN;HT;MA;MX;NI;PA;PE;PR;PT;PY;SV;US;UY;VE,indo1319,NA,Indo-European
tehu1242,tehuelche1,field,yes,http://hdl.handle.net/2196/00-0000-0000-0011-F549-B,domingoTehuelcheLanguageCollection2019,tehuelche,Tehuelche,Tehuelche,language,Spoken_L1_Language,chon1288/cont1245,Tehuelche,South America,-47.5796,-68.3235,teh,AR,chon1288,NA,Chonan
tena1240,tena_kichwa1,field,yes,https://www.elararchive.org/dk0312/,grzechUpperNapoKichwa2020,tena_kichwa,Kichwa,Tena Kichwa,language,Spoken_L1_Language,quec1387/quec1388/quec1389/colo1257/ecua1249/imba1241/colo1258/orie1242,Tena Lowland Quichua,South America,-0.76271,-77.5404,quw,EC,quec1387,NA,Quechuan
toto1304,totoli1,field,yes,https://hdl.handle.net/1839/00-0000-0000-0014-C590-D,letoCollectionTotoli2010,totoli,Totoli,Totoli,language,Spoken_L1_Language,aust1307/mala1545/toli1244,Totoli,Papunesia,1.14995,120.875,txe,ID,aust1307,NA,Austronesian
tzel1254,tseltal1,field,yes,https://islandora-ailla.lib.utexas.edu/islandora/object/ailla%3A124445,polianTseltalDocumentationProject2010,tseltal,Tseltal,Tseltal,language,Spoken_L1_Language,maya1287/core1254/west2865/chol1286/tzel1253,Tzeltal,North America,16.6384,-92.2786,tzh,MX,maya1287,NA,Mayan
ulwa1239,ulwa1,field,yes,"http://hdl.handle.net/2196/00-0000-0000-000F-CB61-A
",barlowDocumentationUlwaEndangered2017,ulwa,Ulwa,Ulwa,language,Spoken_L1_Language,misu1242/suma1272/sumu1234,Ulwa,North America,12.932292,-83.581467,ulw,NI,misu1242,NA,Misumalpan
vama1243,vamale1,field,yes,http://hdl.handle.net/2196/044967e0-e54e-4f00-a979-fb751b2e66cf,rohlederDocumentationDescriptionVamale2018,vamale,Vamale,Vamale,language,Spoken_L1_Language,aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/nort3325/nort3211/vohk1236/vohk1234,Vamale,Papunesia,-20.7708,165.04,mkt,NC,aust1307,NA,Austronesian
woii1237,wooi1,field,yes,https://hdl.handle.net/1839/eb0ab65a-e985-42d1-a9ee-fccdba47a526,unterladstetterCollectionWooi2013,wooi,Wooi,Wooi,language,Spoken_L1_Language,aust1307/mala1545/cent2237/east2712/sout2850/sout3229/cend1238/yape1249/cent2277/ansu1238,Woi,Papunesia,-1.62746,135.484,wbw,ID,aust1307,NA,Austronesian
yakk1236,yakkha1,field,yes,http://hdl.handle.net/2196/d76bd932-9390-4c02-b7c9-1e8aa76b7234,schackowDocumentationGrammaticalDescription2014,yakkha,Yakkha,Yakkha,language,Spoken_L1_Language,sino1245/hima1249/maha1306/kira1253/east2719/grea1285,Yakkha,Eurasia,27.3714,87.9306,ybh,IN;NP,sino1245,NA,Sino-Tibetan
pass1247,yali1,field,yes,https://hdl.handle.net/1839/00-0000-0000-0017-EA2D-D,riesbergYaliSummitsCollection2015,yali,Yali,Yali,language,Spoken_L1_Language,nucl1709/dani1287/ngal1299/yali1257,Pass Valley Yali,Papunesia,-3.76869,139.26,yac,ID,nucl1709,NA,Nuclear Trans New Guinea
yele1255,yeli_dnye1,field,yes,https://hdl.handle.net/1839/00-0000-0000-0000-C274-3,levinsonCollectionYeliDnye2019,yeli_dnye,Yélî Dnye,Yélî Dnye,language,Spoken_L1_Language,NA,Yele,Papunesia,-11.3796,154.127,yle,PG,yele1255,NA,Yele
saya1246,zaar1,field,yes,http://www.language-archives.org/language/say,caronCollectionZaarLangage2014,zaar,Zaar,Zaar,language,Spoken_L1_Language,afro1255/chad1250/west2785/west2790/west2800/sout3162/sout3170/zaks1240,Saya,Africa,9.69441,9.71748,say,NG,afro1255,NA,Afro-Asiatic
zaca1242,zacatepec_chatino1,field,yes,NA,NA,zacatepec_chatino,Chatino,Zacatepec_chatino,language,Spoken_L1_Language,otom1299/east2557/popo1292/zapo1436/chat1268/core1263/coas1314/east2736,Zacatepec Chatino,North America,16.08,-97.3069,ctz,MX,otom1299,NA,Otomanguean
zauz1238,zauzou1,field,yes,http://hdl.handle.net/2196/bc64e9fe-4ce0-4af7-b79d-39d73e6ff66f,liDocumentationZauzouEndangered2017,zauzou,Zauzou,Zauzou,language,Spoken_L1_Language,sino1245/burm1265/lolo1265/lolo1267/nuso1234,Zauzou,Eurasia,26.4572,98.8634,zal,CN,sino1245,NA,Sino-Tibetan
